player_id,average_elixir,win_rate,cards_used,arena_level,trophy_count,deck_type,won
065,3.72,0.48,"['Bandit', 'Hog Rider', 'Log', 'Electro Wizard']",14,5781,Siege,0
066,4.6,0.68,"['Baby Dragon', 'Mega Minion', 'Hog Rider', 'Log']",13,5311,Aggro,0
067,4.11,0.44,"['Bandit', 'Fireball', 'Hog Rider', 'P.E.K.K.A']",12,4340,Control,1
068,3.32,0.63,"['Log', 'P.E.K.K.A', 'Mini P.E.K.K.A', 'Tesla']",11,3335,Siege,0
069,4.37,0.42,"['Electro Wizard', 'Cannon', 'Ice Spirit', 'Zap']",15,5669,Aggro,0
070,4.87,0.46,"['Hog Rider', 'Baby Dragon', 'Fireball', 'Cannon']",10,4939,Aggro,0
071,3.66,0.48,"['Electro Wizard', 'Fireball', 'Baby Dragon', 'Mini P.E.K.K.A']",14,5942,Aggro,0
072,4.91,0.43,"['Hog Rider', 'P.E.K.K.A', 'Baby Dragon', 'Ice Spirit']",12,4624,Control,0
073,3.98,0.65,"['Cannon', 'Zap', 'Golem', 'P.E.K.K.A']",15,5802,Cycle,0
074,4.49,0.57,"['Hog Rider', 'Electro Wizard', 'Mega Minion', 'Log']",14,4517,Aggro,1
075,2.53,0.53,"['Bandit', 'Zap', 'Log', 'Electro Wizard']",14,4883,Control,1
076,2.94,0.56,"['Ice Spirit', 'P.E.K.K.A', 'Baby Dragon', 'Mega Minion']",15,4980,Siege,1
077,4.56,0.58,"['Electro Wizard', 'Arrows', 'Cannon', 'Zap']",11,4846,Control,1
078,3.92,0.6,"['Electro Wizard', 'Hog Rider', 'Bandit', 'Tesla']",10,4997,Control,1
079,4.49,0.5,"['Tesla', 'Baby Dragon', 'Golem', 'P.E.K.K.A']",13,3041,Cycle,0
080,2.71,0.62,"['Bandit', 'Mega Minion', 'Mini P.E.K.K.A', 'Cannon']",14,4950,Siege,1
081,4.48,0.43,"['Cannon', 'Log', 'Golem', 'Tesla']",11,5719,Cycle,1
082,3.68,0.56,"['Log', 'Golem', 'Mega Minion', 'Electro Wizard']",11,5878,Siege,1
083,3.27,0.47,"['Golem', 'Cannon', 'Electro Wizard', 'Zap']",14,5194,Control,0
084,3.04,0.55,"['Golem', 'Baby Dragon', 'Mini P.E.K.K.A', 'Mega Minion']",13,4159,Aggro,0
085,3.24,0.51,"['P.E.K.K.A', 'Hog Rider', 'Golem', 'Mega Minion']",10,4123,Aggro,0
086,3.88,0.61,"['Fireball', 'Ice Spirit', 'Mini P.E.K.K.A', 'Bandit']",9,3050,Cycle,1
087,3.67,0.53,"['Fireball', 'Hog Rider', 'P.E.K.K.A', 'Bandit']",9,3267,Siege,1
088,2.69,0.59,"['Hog Rider', 'Fireball', 'Arrows', 'Baby Dragon']",11,3348,Control,0
089,3.9,0.52,"['Baby Dragon', 'Mini P.E.K.K.A', 'Tesla', 'Cannon']",15,5140,Siege,1
090,4.77,0.49,"['Baby Dragon', 'Log', 'P.E.K.K.A', 'Tesla']",13,3246,Cycle,0
091,4.87,0.46,"['Cannon', 'P.E.K.K.A', 'Ice Spirit', 'Zap']",10,3982,Control,0
092,2.89,0.52,"['Golem', 'Baby Dragon', 'Bandit', 'P.E.K.K.A']",9,3948,Beatdown,1
093,4.26,0.54,"['Ice Spirit', 'Cannon', 'P.E.K.K.A', 'Tesla']",13,5708,Control,1
094,2.79,0.47,"['Fireball', 'P.E.K.K.A', 'Tesla', 'Zap']",9,3679,Beatdown,1
095,3.6,0.54,"['P.E.K.K.A', 'Golem', 'Log', 'Tesla']",13,5211,Siege,1
096,2.7,0.41,"['Log', 'Golem', 'Electro Wizard', 'Baby Dragon']",11,3105,Aggro,0
097,4.9,0.65,"['Baby Dragon', 'Tesla', 'Hog Rider', 'Ice Spirit']",15,4103,Cycle,0
098,4.41,0.45,"['Mega Minion', 'Ice Spirit', 'Bandit', 'P.E.K.K.A']",10,5397,Siege,1
099,4.92,0.54,"['Log', 'Electro Wizard', 'Arrows', 'Ice Spirit']",9,3658,Beatdown,1
100,4.23,0.49,"['Log', 'Arrows', 'Mini P.E.K.K.A', 'Mega Minion']",9,4862,Aggro,1
101,3.13,0.43,"['Mini P.E.K.K.A', 'Log', 'Mega Minion', 'Hog Rider']",14,5222,Siege,1
102,2.64,0.56,"['Baby Dragon', 'Mini P.E.K.K.A', 'Bandit', 'Ice Spirit']",12,3211,Control,1
103,3.87,0.68,"['Bandit', 'Golem', 'Tesla', 'Zap']",9,5580,Cycle,0
104,4.27,0.49,"['Hog Rider', 'Mega Minion', 'Log', 'Zap']",10,3464,Siege,0
105,4.12,0.45,"['Tesla', 'Golem', 'P.E.K.K.A', 'Mega Minion']",14,4119,Siege,1
106,4.95,0.47,"['Mega Minion', 'Fireball', 'Log', 'Cannon']",13,5081,Control,0
107,3.19,0.64,"['Log', 'Electro Wizard', 'Mini P.E.K.K.A', 'Mega Minion']",11,3010,Beatdown,1
108,4.59,0.57,"['Ice Spirit', 'Bandit', 'Fireball', 'Arrows']",13,4983,Beatdown,1
109,3.88,0.56,"['Bandit', 'Electro Wizard', 'Cannon', 'Golem']",10,5342,Siege,0
110,4.64,0.52,"['Electro Wizard', 'Golem', 'Bandit', 'Arrows']",15,4561,Siege,0
111,3.74,0.41,"['Mega Minion', 'Baby Dragon', 'Electro Wizard', 'Zap']",15,4803,Aggro,1
112,2.54,0.44,"['Arrows', 'Ice Spirit', 'Fireball', 'Zap']",12,4085,Beatdown,1
113,4.12,0.66,"['Arrows', 'Ice Spirit', 'Mega Minion', 'Log']",11,5567,Siege,0
114,4.04,0.47,"['Ice Spirit', 'P.E.K.K.A', 'Cannon', 'Golem']",9,4777,Aggro,0
115,3.61,0.61,"['Tesla', 'Hog Rider', 'Arrows', 'Electro Wizard']",15,3229,Beatdown,1
116,3.44,0.44,"['Mega Minion', 'Log', 'Baby Dragon', 'Ice Spirit']",15,3737,Control,0
117,2.7,0.66,"['Baby Dragon', 'Ice Spirit', 'Cannon', 'Bandit']",13,3586,Control,1
118,4.09,0.54,"['Ice Spirit', 'Hog Rider', 'Mini P.E.K.K.A', 'Bandit']",11,5775,Cycle,0
119,2.68,0.68,"['Baby Dragon', 'P.E.K.K.A', 'Ice Spirit', 'Log']",14,4024,Siege,1
120,3.0,0.52,"['Bandit', 'Zap', 'Cannon', 'Log']",13,4470,Cycle,1
121,4.98,0.49,"['Arrows', 'Ice Spirit', 'Log', 'P.E.K.K.A']",9,5318,Aggro,1
122,4.58,0.67,"['Mini P.E.K.K.A', 'Tesla', 'Cannon', 'Baby Dragon']",15,4443,Control,0
123,4.05,0.6,"['Golem', 'Mini P.E.K.K.A', 'Ice Spirit', 'Arrows']",15,3560,Aggro,0
124,3.27,0.53,"['Baby Dragon', 'Electro Wizard', 'Golem', 'Fireball']",9,4208,Beatdown,1
125,2.94,0.44,"['Mega Minion', 'Electro Wizard', 'Tesla', 'Mini P.E.K.K.A']",11,3673,Beatdown,1
126,4.92,0.49,"['Arrows', 'Electro Wizard', 'Mini P.E.K.K.A', 'Zap']",12,3308,Control,0
127,4.65,0.62,"['Log', 'Arrows', 'Mini P.E.K.K.A', 'Mega Minion']",11,3369,Siege,0
128,3.16,0.44,"['Electro Wizard', 'Ice Spirit', 'Golem', 'Arrows']",11,5394,Siege,1
129,2.77,0.47,"['Hog Rider', 'Baby Dragon', 'Mega Minion', 'Electro Wizard']",13,3906,Aggro,1
130,4.77,0.49,"['Log', 'Zap', 'Fireball', 'Hog Rider']",9,4246,Siege,0
131,2.74,0.67,"['Fireball', 'Log', 'Bandit', 'Electro Wizard']",14,5852,Cycle,1
132,3.97,0.62,"['Tesla', 'Log', 'Ice Spirit', 'Zap']",15,5004,Cycle,1
133,4.85,0.48,"['Golem', 'Electro Wizard', 'Cannon', 'Bandit']",12,3967,Beatdown,0
134,4.95,0.51,"['Tesla', 'Ice Spirit', 'Electro Wizard', 'Hog Rider']",12,4130,Control,0
135,4.87,0.65,"['Zap', 'Ice Spirit', 'Cannon', 'Arrows']",14,5445,Aggro,0
136,4.47,0.47,"['Fireball', 'Mini P.E.K.K.A', 'Baby Dragon', 'Cannon']",9,5270,Control,0
137,4.53,0.47,"['Mini P.E.K.K.A', 'Fireball', 'Tesla', 'Baby Dragon']",9,4135,Control,0
138,3.85,0.64,"['Zap', 'Ice Spirit', 'Hog Rider', 'Fireball']",9,4467,Control,1
139,2.54,0.48,"['Fireball', 'Golem', 'Log', 'Mega Minion']",9,3260,Siege,1
140,4.45,0.55,"['Zap', 'Bandit', 'Mega Minion', 'Cannon']",13,3177,Cycle,1
141,3.65,0.69,"['Hog Rider', 'Bandit', 'Log', 'Mini P.E.K.K.A']",14,3442,Siege,1
142,2.68,0.42,"['Baby Dragon', 'Fireball', 'Zap', 'Arrows']",11,5557,Cycle,1
143,3.45,0.58,"['P.E.K.K.A', 'Bandit', 'Mega Minion', 'Baby Dragon']",12,3406,Aggro,0
144,3.58,0.67,"['Log', 'Electro Wizard', 'Bandit', 'Tesla']",12,5988,Aggro,1
145,3.57,0.6,"['Electro Wizard', 'Fireball', 'Ice Spirit', 'Bandit']",9,3373,Aggro,0
146,3.58,0.62,"['Electro Wizard', 'Mini P.E.K.K.A', 'Fireball', 'Mega Minion']",9,5402,Cycle,1
147,4.18,0.52,"['Arrows', 'Ice Spirit', 'Mini P.E.K.K.A', 'Log']",15,5953,Aggro,1
148,4.0,0.51,"['Baby Dragon', 'Mega Minion', 'Cannon', 'Fireball']",14,4975,Control,0
149,3.38,0.57,"['Zap', 'Mini P.E.K.K.A', 'P.E.K.K.A', 'Baby Dragon']",10,4757,Cycle,0
150,4.02,0.6,"['Golem', 'P.E.K.K.A', 'Hog Rider', 'Fireball']",11,5878,Beatdown,1
151,3.38,0.45,"['Fireball', 'Baby Dragon', 'Ice Spirit', 'Log']",9,3581,Aggro,0
152,4.37,0.46,"['Log', 'Bandit', 'Electro Wizard', 'Fireball']",11,4276,Beatdown,0
153,4.71,0.45,"['Mini P.E.K.K.A', 'Baby Dragon', 'Hog Rider', 'Ice Spirit']",9,4114,Siege,1
154,3.71,0.53,"['P.E.K.K.A', 'Cannon', 'Mini P.E.K.K.A', 'Mega Minion']",9,4413,Siege,0
155,3.21,0.6,"['Bandit', 'Mega Minion', 'Ice Spirit', 'P.E.K.K.A']",9,3903,Siege,0
156,2.52,0.49,"['Cannon', 'Mini P.E.K.K.A', 'Fireball', 'P.E.K.K.A']",11,4343,Aggro,0
157,3.74,0.53,"['Fireball', 'Log', 'Mega Minion', 'Golem']",10,5049,Cycle,1
158,2.68,0.66,"['Hog Rider', 'Log', 'Tesla', 'Bandit']",9,4282,Cycle,1
159,3.93,0.61,"['Log', 'P.E.K.K.A', 'Zap', 'Tesla']",9,4330,Control,1
160,4.58,0.68,"['Zap', 'Log', 'Tesla', 'Cannon']",12,5412,Siege,0
161,3.49,0.49,"['Electro Wizard', 'Cannon', 'Tesla', 'Fireball']",9,5090,Aggro,0
162,4.76,0.5,"['Golem', 'Arrows', 'Ice Spirit', 'Fireball']",10,3421,Control,1
163,2.99,0.58,"['Mini P.E.K.K.A', 'Tesla', 'Ice Spirit', 'Zap']",10,5572,Siege,1
164,4.39,0.63,"['Bandit', 'Ice Spirit', 'Baby Dragon', 'Arrows']",14,5558,Beatdown,1
165,2.88,0.42,"['Bandit', 'Ice Spirit', 'P.E.K.K.A', 'Mini P.E.K.K.A']",13,3230,Beatdown,0
166,3.28,0.54,"['Hog Rider', 'Electro Wizard', 'P.E.K.K.A', 'Zap']",14,3369,Cycle,1
167,3.66,0.57,"['Mini P.E.K.K.A', 'Golem', 'Hog Rider', 'Bandit']",15,5341,Control,1
168,4.01,0.55,"['Hog Rider', 'Bandit', 'Zap', 'Electro Wizard']",14,3345,Cycle,0
169,2.6,0.61,"['Bandit', 'Mega Minion', 'Arrows', 'Baby Dragon']",10,4490,Beatdown,1
170,3.47,0.63,"['Ice Spirit', 'Baby Dragon', 'Hog Rider', 'Tesla']",14,4370,Aggro,1
171,2.74,0.6,"['P.E.K.K.A', 'Tesla', 'Golem', 'Ice Spirit']",13,3615,Beatdown,0
172,3.96,0.44,"['Electro Wizard', 'P.E.K.K.A', 'Ice Spirit', 'Golem']",14,4605,Control,0
173,3.27,0.51,"['Mini P.E.K.K.A', 'Electro Wizard', 'Fireball', 'Ice Spirit']",14,5807,Cycle,0
174,4.12,0.53,"['Electro Wizard', 'Hog Rider', 'Tesla', 'P.E.K.K.A']",10,3877,Beatdown,1
175,2.98,0.7,"['Fireball', 'Zap', 'P.E.K.K.A', 'Arrows']",13,5210,Cycle,0
176,4.15,0.66,"['Baby Dragon', 'Fireball', 'Tesla', 'Log']",10,3664,Control,0
177,4.3,0.41,"['Electro Wizard', 'Ice Spirit', 'Golem', 'Cannon']",12,5500,Beatdown,1
178,3.09,0.47,"['Mini P.E.K.K.A', 'Tesla', 'Bandit', 'Cannon']",11,5778,Cycle,1
179,3.65,0.48,"['Log', 'Mega Minion', 'Arrows', 'Tesla']",10,3817,Cycle,0
180,4.68,0.42,"['Bandit', 'Arrows', 'Electro Wizard', 'Mega Minion']",9,5913,Cycle,0
181,3.21,0.63,"['P.E.K.K.A', 'Bandit', 'Mega Minion', 'Fireball']",15,4791,Aggro,0
182,4.54,0.67,"['Tesla', 'Hog Rider', 'Log', 'Arrows']",12,5056,Beatdown,0
183,3.47,0.42,"['Cannon', 'Hog Rider', 'Electro Wizard', 'Zap']",15,5927,Beatdown,0
184,2.84,0.49,"['Arrows', 'Bandit', 'Golem', 'Fireball']",15,5889,Siege,1
185,4.04,0.67,"['Hog Rider', 'P.E.K.K.A', 'Cannon', 'Fireball']",13,5978,Cycle,1
186,2.78,0.49,"['P.E.K.K.A', 'Zap', 'Hog Rider', 'Cannon']",12,5617,Cycle,1
187,2.66,0.65,"['Bandit', 'Baby Dragon', 'Mega Minion', 'Hog Rider']",14,5110,Cycle,0
188,4.3,0.49,"['Hog Rider', 'Baby Dragon', 'Electro Wizard', 'Cannon']",13,4706,Control,0
189,3.81,0.51,"['Mega Minion', 'Tesla', 'Arrows', 'Mini P.E.K.K.A']",13,3083,Siege,1
190,2.61,0.52,"['Electro Wizard', 'P.E.K.K.A', 'Golem', 'Hog Rider']",11,3276,Beatdown,0
191,4.33,0.59,"['Mini P.E.K.K.A', 'Baby Dragon', 'Golem', 'Electro Wizard']",10,3181,Beatdown,1
192,4.53,0.45,"['Mini P.E.K.K.A', 'Ice Spirit', 'Bandit', 'Golem']",12,5587,Control,0
193,2.66,0.63,"['Bandit', 'Hog Rider', 'P.E.K.K.A', 'Cannon']",9,3817,Aggro,1
194,4.83,0.55,"['Arrows', 'Mega Minion', 'Bandit', 'P.E.K.K.A']",9,5649,Control,1
195,3.39,0.63,"['Arrows', 'Ice Spirit', 'Electro Wizard', 'P.E.K.K.A']",9,4507,Siege,1
196,4.36,0.67,"['Log', 'Electro Wizard', 'Fireball', 'Bandit']",14,5037,Beatdown,1
197,4.5,0.62,"['Zap', 'Log', 'Baby Dragon', 'Fireball']",13,4203,Beatdown,0
198,2.7,0.6,"['P.E.K.K.A', 'Bandit', 'Baby Dragon', 'Golem']",12,3682,Siege,1
199,3.62,0.62,"['Tesla', 'Electro Wizard', 'Baby Dragon', 'Log']",11,5619,Aggro,0
200,4.18,0.52,"['Mega Minion', 'Mini P.E.K.K.A', 'Golem', 'Ice Spirit']",10,3127,Control,1
201,2.59,0.42,"['Mini P.E.K.K.A', 'Ice Spirit', 'Electro Wizard', 'Tesla']",12,5323,Aggro,0
202,4.2,0.68,"['Electro Wizard', 'Bandit', 'Mini P.E.K.K.A', 'Zap']",13,3563,Cycle,1
203,3.5,0.59,"['Cannon', 'Zap', 'Hog Rider', 'Golem']",10,5044,Cycle,1
204,4.78,0.44,"['Mini P.E.K.K.A', 'P.E.K.K.A', 'Golem', 'Bandit']",10,5506,Beatdown,1
205,3.0,0.44,"['Zap', 'Bandit', 'Fireball', 'Golem']",12,3359,Beatdown,1
206,4.27,0.56,"['P.E.K.K.A', 'Tesla', 'Fireball', 'Golem']",14,5868,Control,1
207,3.77,0.44,"['Cannon', 'Mini P.E.K.K.A', 'Fireball', 'Tesla']",15,5023,Aggro,1
208,3.89,0.51,"['Mini P.E.K.K.A', 'Mega Minion', 'Fireball', 'Baby Dragon']",9,3269,Beatdown,1
209,5.0,0.62,"['Mega Minion', 'Log', 'Mini P.E.K.K.A', 'Arrows']",15,5354,Aggro,0
210,4.93,0.59,"['Bandit', 'Tesla', 'Ice Spirit', 'Mega Minion']",11,3525,Cycle,0
211,4.42,0.44,"['Mega Minion', 'Arrows', 'Hog Rider', 'Zap']",13,3626,Beatdown,0
212,2.9,0.68,"['Cannon', 'Electro Wizard', 'Mega Minion', 'P.E.K.K.A']",15,3323,Beatdown,0
213,4.09,0.57,"['Fireball', 'Ice Spirit', 'P.E.K.K.A', 'Baby Dragon']",13,3382,Cycle,0
214,3.98,0.57,"['Fireball', 'Ice Spirit', 'Baby Dragon', 'Golem']",13,4382,Cycle,0
215,4.56,0.41,"['Hog Rider', 'Ice Spirit', 'Mini P.E.K.K.A', 'Baby Dragon']",11,5667,Control,1
216,4.05,0.41,"['Tesla', 'Ice Spirit', 'Mega Minion', 'P.E.K.K.A']",14,4237,Siege,0
217,4.51,0.61,"['P.E.K.K.A', 'Bandit', 'Zap', 'Golem']",9,3647,Siege,1
218,3.71,0.46,"['Baby Dragon', 'Fireball', 'Electro Wizard', 'Golem']",11,4414,Siege,0
219,4.4,0.55,"['Zap', 'Electro Wizard', 'Cannon', 'Bandit']",9,4095,Siege,0
220,2.85,0.42,"['Log', 'Arrows', 'Baby Dragon', 'Tesla']",10,3654,Beatdown,1
221,2.97,0.45,"['Mega Minion', 'Bandit', 'Arrows', 'P.E.K.K.A']",12,3094,Aggro,1
222,3.76,0.69,"['Cannon', 'Baby Dragon', 'Electro Wizard', 'Hog Rider']",9,4152,Siege,1
223,3.21,0.4,"['Zap', 'Log', 'Fireball', 'P.E.K.K.A']",14,4498,Siege,1
224,2.61,0.42,"['Mega Minion', 'Cannon', 'Electro Wizard', 'Tesla']",11,3301,Siege,1
225,4.41,0.48,"['Baby Dragon', 'Ice Spirit', 'Tesla', 'Zap']",10,3396,Siege,1
226,4.49,0.5,"['Electro Wizard', 'Mini P.E.K.K.A', 'Fireball', 'Cannon']",13,5085,Siege,0
227,2.61,0.44,"['Electro Wizard', 'Mini P.E.K.K.A', 'Bandit', 'Mega Minion']",12,3610,Cycle,0
228,3.32,0.58,"['Fireball', 'Log', 'Baby Dragon', 'Golem']",15,4225,Cycle,1
229,3.77,0.55,"['Bandit', 'Golem', 'Baby Dragon', 'P.E.K.K.A']",12,3068,Beatdown,1
230,4.18,0.69,"['Baby Dragon', 'P.E.K.K.A', 'Mini P.E.K.K.A', 'Golem']",15,5818,Aggro,1
231,3.16,0.6,"['Mini P.E.K.K.A', 'Baby Dragon', 'Arrows', 'Cannon']",14,3210,Cycle,1
232,2.93,0.59,"['Baby Dragon', 'Mini P.E.K.K.A', 'Log', 'Fireball']",15,5788,Control,0
233,3.93,0.61,"['Cannon', 'Hog Rider', 'Bandit', 'Electro Wizard']",12,3620,Siege,0
234,3.53,0.63,"['Tesla', 'Bandit', 'Golem', 'Mini P.E.K.K.A']",9,5890,Control,0
235,3.9,0.7,"['Bandit', 'Mega Minion', 'Log', 'Electro Wizard']",10,4882,Cycle,1
236,3.87,0.6,"['Arrows', 'Golem', 'Ice Spirit', 'Mini P.E.K.K.A']",15,5839,Beatdown,1
237,2.98,0.47,"['Mega Minion', 'P.E.K.K.A', 'Cannon', 'Arrows']",15,4183,Control,1
238,3.29,0.5,"['Tesla', 'Mini P.E.K.K.A', 'Golem', 'P.E.K.K.A']",11,3499,Cycle,1
239,4.74,0.52,"['Electro Wizard', 'Mini P.E.K.K.A', 'Arrows', 'Fireball']",11,3172,Beatdown,0
240,3.37,0.53,"['P.E.K.K.A', 'Golem', 'Bandit', 'Cannon']",10,5206,Beatdown,1
241,2.84,0.58,"['Baby Dragon', 'Cannon', 'Arrows', 'Hog Rider']",14,5175,Control,0
242,2.63,0.52,"['Golem', 'Bandit', 'Zap', 'Ice Spirit']",15,3563,Aggro,0
243,3.52,0.68,"['Tesla', 'Bandit', 'Arrows', 'Ice Spirit']",10,4176,Beatdown,1
244,4.11,0.67,"['Zap', 'Ice Spirit', 'Baby Dragon', 'Cannon']",13,5961,Aggro,0
